ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15+",Area type: National,2022,851.77,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15+",Area type: Rural,2022,284.403,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15+",Area type: Urban,2022,366.859,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15+",Area type: Not elsewhere classified,2022,200.509,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Area type: National,2022,849.672,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Area type: Rural,2022,283.014,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Area type: Urban,2022,366.501,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-64",Area type: Not elsewhere classified,2022,200.157,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",Area type: National,2022,338.84,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",Area type: Rural,2022,133.283,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",Area type: Urban,2022,126.134,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",Area type: Not elsewhere classified,2022,79.423,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 25+",Area type: National,2022,512.931,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 25+",Area type: Rural,2022,151.12,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 25+",Area type: Urban,2022,240.725,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 25+",Area type: Not elsewhere classified,2022,121.085,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 15+",Area type: National,2022,469.24,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 15+",Area type: Rural,2022,164.611,,,,Repository: ILO-STATISTICS - Micro data processing
Viet Nam,"Unemployment by sex, age and rural / urban areas (thousands)",LFS - Labour Force Survey,Sex: Male,"Age (Youth, adults): 15+",Area type: Urban,2022,198.843,,,,Repository: ILO-STATISTICS - Micro data processing
