ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label
Viet Nam,"Unemployment by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 15+",2024,939.653,
Viet Nam,"Unemployment by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 15-24",2024,411.494,
Viet Nam,"Unemployment by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 25+",2024,528.159,
Viet Nam,"Unemployment by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 15+",2023,928.777,
Viet Nam,"Unemployment by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 15-24",2023,404.699,
Viet Nam,"Unemployment by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 25+",2023,524.078,
Viet Nam,"Unemployment by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 15+",2022,857.609,Adjusted
Viet Nam,"Unemployment by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 15-24",2022,356.434,Adjusted
Viet Nam,"Unemployment by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 25+",2022,501.175,Adjusted
Viet Nam,"Unemployment by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 15+",2021,1309.831,Adjusted
Viet Nam,"Unemployment by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 15-24",2021,430.189,Adjusted
Viet Nam,"Unemployment by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 25+",2021,879.642,Adjusted
Viet Nam,"Unemployment by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 15+",2020,1149.791,Adjusted
Viet Nam,"Unemployment by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 15-24",2020,472.836,Adjusted
Viet Nam,"Unemployment by sex and age -- ILO modelled estimates, Nov. 2023 (thousands)",ILO - Modelled Estimates,Sex: Total,"Age (Youth, adults): 25+",2020,676.955,Adjusted
